,season,league,champion,most_valuable_player,rookie_of_the_year,leader_in_points_scored,leader_in_total_rebounds,leader_in_assists,leader_in_win_shares
0,2021-22,NBA,,,,,,,
1,2020-21,NBA,Milwaukee Bucks,jokicni01,ballla01,curryst01,goberru01,westbru01,jokicni01
2,2019-20,NBA,Los Angeles Lakers,antetgi01,moranja01,hardeja01,goberru01,jamesle01,hardeja01
3,2018-19,NBA,Toronto Raptors,antetgi01,doncilu01,hardeja01,drumman01,westbru01,hardeja01
4,2017-18,NBA,Golden State Warriors,hardeja01,simmobe01,jamesle01,drumman01,westbru01,hardeja01
5,2016-17,NBA,Golden State Warriors,westbru01,brogdma01,westbru01,drumman01,hardeja01,hardeja01
6,2015-16,NBA,Cleveland Cavaliers,curryst01,townska01,hardeja01,drumman01,rondora01,curryst01
7,2014-15,NBA,Golden State Warriors,curryst01,wiggian01,hardeja01,jordade01,paulch01,hardeja01
8,2013-14,NBA,San Antonio Spurs,duranke01,cartemi01,duranke01,jordade01,walljo01,duranke01
9,2012-13,NBA,Miami Heat,jamesle01,lillada01,duranke01,asikom01,vasqugr01,jamesle01
10,2011-12,NBA,Miami Heat,jamesle01,irvinky01,duranke01,howardw01,nashst01,jamesle01
11,2010-11,NBA,Dallas Mavericks,rosede01,griffbl01,duranke01,loveke01,nashst01,jamesle01
12,2009-10,NBA,Los Angeles Lakers,jamesle01,evansty01,duranke01,howardw01,nashst01,jamesle01
13,2008-09,NBA,Los Angeles Lakers,jamesle01,rosede01,wadedw01,howardw01,paulch01,jamesle01
14,2007-08,NBA,Boston Celtics,bryanko01,duranke01,bryanko01,howardw01,paulch01,paulch01
15,2006-07,NBA,San Antonio Spurs,nowitdi01,roybr01,bryanko01,howardw01,nashst01,nowitdi01
16,2005-06,NBA,Miami Heat,nashst01,paulch01,bryanko01,howardw01,nashst01,nowitdi01
17,2004-05,NBA,San Antonio Spurs,nashst01,okafoem01,iversal01,garneke01,nashst01,garneke01
18,2003-04,NBA,Detroit Pistons,garneke01,jamesle01,garneke01,garneke01,marbust01,garneke01
19,2002-03,NBA,San Antonio Spurs,duncati01,stoudam01,bryanko01,wallabe01,kiddja01,duncati01
20,2001-02,NBA,Los Angeles Lakers,duncati01,gasolpa01,piercpa01,duncati01,millean02,duncati01
21,2000-01,NBA,Los Angeles Lakers,iversal01,millemi01,stackje01,wallabe01,kiddja01,onealsh01
22,1999-00,NBA,Los Angeles Lakers,onealsh01,brandel01,onealsh01,mutomdi01,paytoga01,onealsh01
23,1998-99,NBA,San Antonio Spurs,malonka01,cartevi01,onealsh01,mutomdi01,kiddja01,malonka01
24,1997-98,NBA,Chicago Bulls,jordami01,duncati01,jordami01,rodmade01,stricro02,malonka01
25,1996-97,NBA,Chicago Bulls,malonka01,iversal01,jordami01,mutomdi01,jacksma01,jordami01
26,1995-96,NBA,Chicago Bulls,jordami01,stoudda01,jordami01,robinda01,stockjo01,jordami01
27,1994-95,NBA,Houston Rockets,robinda01,hillgr01,onealsh01,mutomdi01,stockjo01,robinda01
28,1993-94,NBA,Houston Rockets,olajuha01,webbech01,robinda01,rodmade01,stockjo01,robinda01
29,1992-93,NBA,Chicago Bulls,barklch01,onealsh01,jordami01,rodmade01,stockjo01,jordami01
30,1991-92,NBA,Chicago Bulls,jordami01,johnsla02,jordami01,rodmade01,stockjo01,jordami01
31,1990-91,NBA,Chicago Bulls,jordami01,colemde01,jordami01,robinda01,stockjo01,jordami01
32,1989-90,NBA,Detroit Pistons,johnsma02,robinda01,jordami01,olajuha01,stockjo01,jordami01
33,1988-89,NBA,Detroit Pistons,johnsma02,richmmi01,jordami01,olajuha01,stockjo01,jordami01
34,1987-88,NBA,Los Angeles Lakers,jordami01,jacksma01,jordami01,oaklech01,stockjo01,jordami01
35,1986-87,NBA,Los Angeles Lakers,johnsma02,persoch01,jordami01,oaklech01,johnsma02,jordami01
36,1985-86,NBA,Boston Celtics,birdla01,ewingpa01,englial01,laimbbi01,johnsma02,birdla01
37,1984-85,NBA,Los Angeles Lakers,birdla01,jordami01,jordami01,malonmo01,thomais01,birdla01
38,1983-84,NBA,Boston Celtics,birdla01,sampsra01,dantlad01,laimbbi01,nixonno01,dantlad01
39,1982-83,NBA,Philadelphia 76ers,malonmo01,cummite01,englial01,malonmo01,johnsma02,malonmo01
40,1981-82,NBA,Los Angeles Lakers,malonmo01,willibu01,gervige01,malonmo01,moorejo01,malonmo01
41,1980-81,NBA,Boston Celtics,ervinju01,griffda01,dantlad01,malonmo01,porteke01,abdulka01
42,1979-80,NBA,Los Angeles Lakers,abdulka01,birdla01,gervige01,natersw01,richami01,abdulka01
43,1978-79,NBA,Seattle SuperSonics,malonmo01,fordph01,gervige01,malonmo01,porteke01,abdulka01
44,1977-78,NBA,Washington Bullets,waltobi01,daviswa03,gervige01,robintr01,porteke01,thompda01
45,1976-77,NBA,Portland Trail Blazers,abdulka01,dantlad01,maravpe01,abdulka01,busedo01,abdulka01
46,1975-76,NBA,Boston Celtics,abdulka01,adamsal01,mcadobo01,abdulka01,wattssl01,abdulka01
47,1975-76,ABA,New York Nets,ervinju01,thompda01,ervinju01,gilmoar01,busedo01,ervinju01
48,1974-75,NBA,Golden State Warriors,mcadobo01,wilkeja01,mcadobo01,mcadobo01,porteke01,mcadobo01
49,1974-75,ABA,Kentucky Colonels,ervinju01,barnema01,mcginge01,gilmoar01,willich02,ervinju01
50,1973-74,NBA,Boston Celtics,abdulka01,digreer01,mcadobo01,hayesel01,digreer01,abdulka01
51,1973-74,ABA,New York Nets,ervinju01,natersw01,ervinju01,gilmoar01,smithal01,ervinju01
52,1972-73,NBA,New York Knicks,cowenda01,mcadobo01,architi01,chambwi01,architi01,abdulka01
53,1972-73,ABA,Indiana Pacers,cunnibi01,taylobr01,isselda01,gilmoar01,willich02,gilmoar01
54,1971-72,NBA,Los Angeles Lakers,abdulka01,wickssi01,abdulka01,chambwi01,wilkele01,abdulka01
55,1971-72,ABA,Indiana Pacers,gilmoar01,gilmoar01,isselda01,gilmoar01,melchbi01,gilmoar01
56,1970-71,NBA,Milwaukee Bucks,abdulka01,cowenda01,abdulka01,chambwi01,vanlino01,abdulka01
57,1970-71,ABA,Utah Stars,danieme01,isselda01,isselda01,danieme01,melchbi01,beatyze01
58,1969-70,NBA,New York Knicks,reedwi01,abdulka01,abdulka01,hayesel01,wilkele01,westje01
59,1969-70,ABA,Indiana Pacers,haywosp01,haywosp01,haywosp01,haywosp01,brownla01,haywosp01
60,1968-69,NBA,Boston Celtics,unselwe01,unselwe01,hayesel01,chambwi01,roberos01,reedwi01
61,1968-69,ABA,Oakland Oaks,danieme01,jabalwa01,jonesla01,danieme01,brownla01,jonesji01
62,1967-68,NBA,Boston Celtics,chambwi01,monroea01,bingda01,chambwi01,chambwi01,chambwi01
63,1967-68,ABA,Pittsburgh Pipers,hawkico01,danieme01,moedo01,danieme01,brownla01,hawkico01
64,1966-67,NBA,Philadelphia 76ers,chambwi01,bingda01,barryri01,chambwi01,rodgegu01,chambwi01
65,1965-66,NBA,Boston Celtics,chambwi01,barryri01,chambwi01,chambwi01,roberos01,chambwi01
66,1964-65,NBA,Boston Celtics,russebi01,reedwi01,chambwi01,russebi01,roberos01,roberos01
67,1963-64,NBA,Boston Celtics,roberos01,lucasje01,chambwi01,russebi01,roberos01,chambwi01
68,1962-63,NBA,Boston Celtics,russebi01,dischte01,chambwi01,chambwi01,rodgegu01,chambwi01
69,1961-62,NBA,Boston Celtics,russebi01,bellawa01,chambwi01,chambwi01,roberos01,chambwi01
70,1960-61,NBA,Boston Celtics,russebi01,roberos01,chambwi01,chambwi01,roberos01,chambwi01
71,1959-60,NBA,Boston Celtics,chambwi01,chambwi01,chambwi01,chambwi01,cousybo01,chambwi01
72,1958-59,NBA,Boston Celtics,pettibo01,bayloel01,pettibo01,russebi01,cousybo01,pettibo01
73,1957-58,NBA,St. Louis Hawks,russebi01,sauldwo01,yardlge01,russebi01,cousybo01,schaydo01
74,1956-57,NBA,Boston Celtics,cousybo01,heinsto01,arizipa01,stokema01,cousybo01,johnsne01
75,1955-56,NBA,Philadelphia Warriors,pettibo01,stokema01,pettibo01,pettibo01,cousybo01,johnsne01
76,1954-55,NBA,Syracuse Nationals,,pettibo01,johnsne01,johnsne01,cousybo01,johnsne01
77,1953-54,NBA,Minneapolis Lakers,,felixra01,johnsne01,gallaha01,cousybo01,johnsne01
78,1952-53,NBA,Minneapolis Lakers,,meinemo01,johnsne01,mikange01,cousybo01,johnsne01
79,1951-52,NBA,Minneapolis Lakers,,hutchme01,arizipa01,foustla01,phillan01,arizipa01
80,1950-51,NBA,Rochester Royals,,arizipa01,mikange01,schaydo01,phillan01,mikange01
81,1949-50,NBA,Minneapolis Lakers,,grozaal01,mikange01,,mcguidi01,mikange01
82,1948-49,BAA,Minneapolis Lakers,,shannho01,mikange01,,daviebo01,mikange01
83,1947-48,BAA,Baltimore Bullets,,hoffmpa01,zasloma01,,dallmho01,feeribo01
84,1946-47,BAA,Philadelphia Warriors,,,fulksjo01,,calveer01,feeribo01
